CMDLINE C:\Users\xener\AppData\Local\Programs\Python\Python38\python.exe init.py
MEM 78.554688 1591522711.2590
MEM 78.554688 1591522711.3590
MEM 78.554688 1591522711.4590
MEM 78.554688 1591522711.5591
MEM 78.554688 1591522711.6591
MEM 78.554688 1591522711.7591
MEM 78.554688 1591522711.8591
MEM 78.554688 1591522711.9591
MEM 78.554688 1591522712.0592
MEM 78.554688 1591522712.1592
MEM 78.554688 1591522712.2592
MEM 78.554688 1591522712.3592
MEM 78.554688 1591522712.4593
MEM 78.554688 1591522712.5601
MEM 78.554688 1591522712.6601
MEM 78.554688 1591522712.7602
MEM 78.554688 1591522712.8602
MEM 78.554688 1591522712.9602
MEM 78.554688 1591522713.0602
MEM 78.554688 1591522713.1602
MEM 78.554688 1591522713.2603
MEM 78.554688 1591522713.3603
MEM 78.554688 1591522713.4607
MEM 78.554688 1591522713.5608
MEM 78.554688 1591522713.6608
MEM 78.558594 1591522713.7608
MEM 78.558594 1591522713.8616
MEM 78.558594 1591522713.9616
MEM 78.558594 1591522714.0617
MEM 78.558594 1591522714.1617
MEM 78.558594 1591522714.2617
MEM 78.558594 1591522714.3617
MEM 78.558594 1591522714.4618
MEM 78.558594 1591522714.5618
MEM 78.558594 1591522714.6618
MEM 78.558594 1591522714.7618
MEM 78.558594 1591522714.8618
MEM 78.558594 1591522714.9619
MEM 78.558594 1591522715.0619
MEM 78.558594 1591522715.1619
MEM 78.558594 1591522715.2619
MEM 78.558594 1591522715.3620
MEM 78.558594 1591522715.4620
MEM 78.558594 1591522715.5620
MEM 78.558594 1591522715.6620
MEM 78.558594 1591522715.7621
MEM 78.558594 1591522715.8621
MEM 78.558594 1591522715.9621
MEM 78.558594 1591522716.0621
MEM 78.558594 1591522716.1621
MEM 78.558594 1591522716.2622
MEM 78.558594 1591522716.3622
MEM 78.558594 1591522716.4622
MEM 78.558594 1591522716.5622
MEM 78.558594 1591522716.6623
MEM 78.558594 1591522716.7623
MEM 78.558594 1591522716.8623
MEM 78.558594 1591522716.9623
MEM 78.558594 1591522717.0624
MEM 78.558594 1591522717.1624
MEM 78.558594 1591522717.2624
MEM 78.558594 1591522717.3624
MEM 78.558594 1591522717.4624
MEM 78.558594 1591522717.5625
MEM 78.558594 1591522717.6625
MEM 78.558594 1591522717.7625
MEM 78.558594 1591522717.8625
MEM 78.558594 1591522717.9626
MEM 78.558594 1591522718.0626
MEM 78.558594 1591522718.1626
MEM 78.558594 1591522718.2626
MEM 78.558594 1591522718.3626
MEM 78.558594 1591522718.4627
MEM 78.558594 1591522718.5627
MEM 78.558594 1591522718.6627
MEM 78.558594 1591522718.7627
MEM 78.558594 1591522718.8628
MEM 78.558594 1591522718.9628
MEM 78.558594 1591522719.0628
MEM 78.558594 1591522719.1628
MEM 78.558594 1591522719.2628
MEM 78.558594 1591522719.3629
MEM 78.558594 1591522719.4629
MEM 78.558594 1591522719.5629
MEM 78.558594 1591522719.6629
MEM 78.558594 1591522719.7630
MEM 78.558594 1591522719.8630
MEM 78.558594 1591522719.9630
MEM 78.558594 1591522720.0630
MEM 78.558594 1591522720.1630
MEM 78.558594 1591522720.2631
MEM 78.558594 1591522720.3631
MEM 78.558594 1591522720.4631
MEM 78.558594 1591522720.5631
MEM 78.558594 1591522720.6632
MEM 78.558594 1591522720.7632
MEM 78.558594 1591522720.8632
MEM 78.558594 1591522720.9632
MEM 78.558594 1591522721.0633
MEM 78.558594 1591522721.1633
MEM 78.558594 1591522721.2633
MEM 78.558594 1591522721.3633
MEM 78.558594 1591522721.4633
MEM 78.558594 1591522721.5634
MEM 78.558594 1591522721.6634
MEM 78.558594 1591522721.7634
MEM 78.558594 1591522721.8634
MEM 78.558594 1591522721.9635
MEM 78.558594 1591522722.0635
MEM 78.558594 1591522722.1635
MEM 78.558594 1591522722.2635
MEM 78.558594 1591522722.3635
MEM 78.558594 1591522722.4636
MEM 78.558594 1591522722.5636
MEM 78.558594 1591522722.6636
MEM 78.558594 1591522722.7636
MEM 78.562500 1591522722.8637
MEM 78.562500 1591522722.9637
MEM 78.562500 1591522723.0637
MEM 78.562500 1591522723.1637
MEM 78.562500 1591522723.2637
MEM 78.562500 1591522723.3638
MEM 78.562500 1591522723.4638
MEM 78.562500 1591522723.5638
MEM 78.562500 1591522723.6638
MEM 78.562500 1591522723.7639
MEM 78.562500 1591522723.8639
MEM 78.562500 1591522723.9639
MEM 78.562500 1591522724.0639
MEM 78.562500 1591522724.1639
MEM 78.562500 1591522724.2640
MEM 78.562500 1591522724.3640
MEM 78.562500 1591522724.4640
MEM 78.562500 1591522724.5640
MEM 78.562500 1591522724.6641
MEM 78.562500 1591522724.7641
MEM 78.562500 1591522724.8641
MEM 78.562500 1591522724.9641
MEM 78.562500 1591522725.0642
MEM 78.562500 1591522725.1642
MEM 78.562500 1591522725.2642
MEM 78.562500 1591522725.3642
MEM 78.562500 1591522725.4642
MEM 78.562500 1591522725.5643
MEM 78.562500 1591522725.6643
MEM 78.562500 1591522725.7643
MEM 78.562500 1591522725.8643
MEM 78.562500 1591522725.9644
MEM 78.562500 1591522726.0644
MEM 78.562500 1591522726.1644
MEM 78.562500 1591522726.2644
MEM 78.562500 1591522726.3644
MEM 78.562500 1591522726.4645
MEM 78.562500 1591522726.5645
MEM 78.562500 1591522726.6645
MEM 78.562500 1591522726.7645
MEM 78.562500 1591522726.8646
MEM 78.562500 1591522726.9646
MEM 78.562500 1591522727.0646
MEM 78.562500 1591522727.1646
MEM 78.562500 1591522727.2646
MEM 78.562500 1591522727.3647
MEM 78.562500 1591522727.4647
MEM 78.562500 1591522727.5647
MEM 78.562500 1591522727.6647
MEM 78.562500 1591522727.7648
